modelo,feature,importancia_media,importancia_std
Regresion_Logistica,hora_sin,0.004329680579628829,0.0009988627434759081
Regresion_Logistica,hora_cos,0.0047351788566436515,0.00022586766917054632
Regresion_Logistica,dia_semana_sin,-0.0013881807370785815,0.000280828530004639
Regresion_Logistica,dia_semana_cos,-2.0262482632501153e-07,0.00048515577824369635
Regresion_Logistica,mes_sin,0.0,0.0
Regresion_Logistica,mes_cos,0.0006854198631469632,0.000978159363995811
Regresion_Logistica,es_fin_de_semana,0.0010693224541791964,0.00014113263663113312
Regresion_Logistica,latitud,0.003634863427395496,0.0012241369682097659
Regresion_Logistica,longitud,0.0005932870808586325,0.0008390346361310212
Regresion_Logistica,dist_hermelinda_km,0.001569510001087182,0.00036284533314413504
Regresion_Logistica,dist_sanchez_carrion_km,0.001581901960960752,0.0007392666517942681
Regresion_Logistica,dist_parque_industrial_km,0.0027410054460694036,0.001328473319970115
Regresion_Logistica,dist_cesar_vallejo_km,0.004851994856656587,0.0009559245414726176
Regresion_Logistica,dist_hotspot_mas_cercano_km,0.004099499708412724,0.0015880542121039071
Regresion_Logistica,tipo_Estafa,0.03266561397127991,0.0014377881127843716
Regresion_Logistica,tipo_Extorsión,0.09805777078256517,0.0013326457344678977
Regresion_Logistica,tipo_Hurto,-0.0003963306417054113,0.00028024808434191223
Regresion_Logistica,tipo_Otros,0.3113866720620877,0.010112824017887852
Regresion_Logistica,tipo_Robo,0.13006025668240606,0.0038797112680843886
Regresion_Logistica,tipo_Secuestro,-0.0005984127699458034,0.0004288837271216186
Regresion_Logistica,tipo_Violencia contra la mujer e integrantes,0.23679993845238448,0.002766483147983416
Random_Forest,hora_sin,-0.001590665865068804,0.0006018623822112089
Random_Forest,hora_cos,-0.0018689099769633177,0.0014438702647703262
Random_Forest,dia_semana_sin,-0.0023572043016013566,0.0008644301075019441
Random_Forest,dia_semana_cos,0.00018609763529072362,0.0006005296872206961
Random_Forest,mes_sin,-5.784386108305858e-05,0.0010692952454178818
Random_Forest,mes_cos,-0.0009731053196846787,0.001350903845678033
Random_Forest,es_fin_de_semana,-0.0007075454007508345,0.0007386574143180768
Random_Forest,latitud,-0.0009047742014595869,0.00048384483049018935
Random_Forest,longitud,-0.0005469617796206583,0.000748890222021572
Random_Forest,dist_hermelinda_km,-2.1621685360055192e-05,0.0008643821360541282
Random_Forest,dist_sanchez_carrion_km,-0.0012886791277364473,0.0008433103659524009
Random_Forest,dist_parque_industrial_km,-0.00011505952841091756,0.0002789236448528978
Random_Forest,dist_cesar_vallejo_km,-0.002487031784152808,0.00028006643446704566
Random_Forest,dist_hotspot_mas_cercano_km,-0.0015098498901378414,0.0013551211043754208
Random_Forest,tipo_Estafa,0.018658617951209416,0.0006273727056413269
Random_Forest,tipo_Extorsión,0.0012719250984646324,0.001267682094691147
Random_Forest,tipo_Hurto,0.22657485645283038,0.007901941935465832
Random_Forest,tipo_Otros,0.27831539641566194,0.006589579615152139
Random_Forest,tipo_Robo,0.005508080271761158,0.0018918642956499414
Random_Forest,tipo_Secuestro,0.0,0.0
Random_Forest,tipo_Violencia contra la mujer e integrantes,0.019140024209436723,0.0019439539863398754
LightGBM,hora_sin,0.0004616034756691108,0.0022946890781521466
LightGBM,hora_cos,0.0021769270915766117,0.0014678135954657955
LightGBM,dia_semana_sin,-0.0020950408100368265,0.0017838837590088423
LightGBM,dia_semana_cos,-0.003619729208785246,0.0006238926838277515
LightGBM,mes_sin,0.0007769650636142064,0.0012009255141525379
LightGBM,mes_cos,0.0022484531217034087,0.0014393288425095315
LightGBM,es_fin_de_semana,0.0003820373655077554,0.0006892347634822191
LightGBM,latitud,0.0008693999405955388,0.0
