,fold,fold,accuracy,accuracy,precision_macro,precision_macro,recall_macro,recall_macro,f1_macro,f1_macro,roc_auc_macro,roc_auc_macro,tiempo_entrenamiento_s,tiempo_entrenamiento_s
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
modelo,,,,,,,,,,,,,,
Hibrido1_Stacking_MLP,2.0,1.5811,0.8965,0.0034,0.8719,0.0071,0.8506,0.0022,0.8577,0.0031,0.9385,0.0026,50.3645,1.7981
Hibrido2_GA_MLP,2.0,1.5811,0.8922,0.0033,0.8622,0.0045,0.8502,0.0047,0.855,0.0046,0.9371,0.0036,24.2105,2.6049
LightGBM,2.0,1.5811,0.8996,0.0036,0.8785,0.0055,0.8521,0.005,0.8603,0.0052,0.9391,0.0029,3.3,0.041
Random_Forest,2.0,1.5811,0.8994,0.003,0.8782,0.0048,0.8517,0.0043,0.86,0.0043,0.9382,0.003,6.3175,0.0776
Regresion_Logistica,2.0,1.5811,0.8991,0.0042,0.8775,0.0065,0.8518,0.0056,0.8599,0.0058,0.9337,0.0027,0.196,0.0465
