modelo,Hibrido1_Stacking_MLP,Hibrido2_GA_MLP,LightGBM,Random_Forest,Regresion_Logistica
Hibrido1_Stacking_MLP,1.0,0.7514240977400495,0.49732480971524573,0.8554745643109433,0.49732480971524573
Hibrido2_GA_MLP,0.7514240977400495,1.0,0.04087634015210595,0.17959696466629393,0.04087634015210595
LightGBM,0.49732480971524573,0.04087634015210595,1.0,0.9751233422787462,1.0
Random_Forest,0.8554745643109433,0.17959696466629393,0.9751233422787462,1.0,0.9751233422787462
Regresion_Logistica,0.49732480971524573,0.04087634015210595,1.0,0.9751233422787462,1.0
