modelo,fold,accuracy,precision_macro,recall_macro,f1_macro,roc_auc_macro,tiempo_entrenamiento_s
Regresion_Logistica,0,0.9054726368159204,0.8865028528473958,0.8609225648404385,0.8692777196170738,0.9362201004632579,0.21506333351135254
Regresion_Logistica,1,0.9010503040353787,0.8824922914057379,0.8518281201379104,0.8609019902152374,0.932756173432824,0.19538044929504395
Regresion_Logistica,2,0.8962594435231251,0.8729635952257601,0.8484717160894557,0.8559822457588173,0.9341021472017985,0.12585139274597168
Regresion_Logistica,3,0.8975492905841165,0.8738593170482803,0.8513806043029293,0.8587541308967269,0.9359301606798619,0.1900787353515625
Regresion_Logistica,4,0.8953381241938456,0.8719139045151634,0.8463582781970432,0.8545549678571982,0.9296590912918871,0.2536203861236572
Random_Forest,0,0.9039985258890731,0.8840991038208124,0.8590897685181046,0.8672681387043312,0.9418939883297415,6.368335247039795
Random_Forest,1,0.9008660401695228,0.8826190014395771,0.8512266342817153,0.8604027713418532,0.9351895269000461,6.343914747238159
Random_Forest,2,0.896627971254837,0.8738055706302509,0.8486816576261037,0.8563306699217855,0.9404710776525986,6.283539056777954
Random_Forest,3,0.8975492905841165,0.8743375292184332,0.8508131584882195,0.8583876372304745,0.9380479452008443,6.392406225204468
Random_Forest,4,0.8977335544499724,0.876234446256531,0.8489287205415134,0.8575558962475193,0.9351839632264413,6.199112892150879
LightGBM,0,0.9051041090842086,0.8857948055172136,0.8605707618501132,0.8688393459622188,0.9431437337522729,3.27546763420105
LightGBM,1,0.9006817763036669,0.8817442765961734,0.851476317147585,0.8604651958642124,0.9359985042304042,3.261183261871338
LightGBM,2,0.8953381241938456,0.8714792960225335,0.8473084857062873,0.8547182264826937,0.9402629853368946,3.297011375427246
LightGBM,3,0.8982863460475401,0.8761051525480178,0.8510911801078379,0.8589742813985374,0.9393479577646686,3.3678152561187744
LightGBM,4,0.898470609913396,0.8774062379419522,0.849916049429519,0.8586265208375993,0.9365980500727077,3.298628330230713
Hibrido1_Stacking_MLP,0,0.8971807628524047,0.8709794461986199,0.8535327880852085,0.8598652454439931,0.9414027472762064,48.36898469924927
Hibrido1_Stacking_MLP,1,0.8995761931085314,0.8797274810712512,0.8503792528889907,0.8592000127937013,0.9361213416890385,52.01196336746216
Hibrido1_Stacking_MLP,2,0.8909157914133039,0.8608871758733674,0.8473426934327059,0.8523435857355929,0.9407049442707015,51.50917983055115
Hibrido1_Stacking_MLP,3,0.896443707388981,0.8719487495405938,0.8501833338782756,0.8573704768204115,0.9387640829884737,48.448097944259644
Hibrido1_Stacking_MLP,4,0.898470609913396,0.8759649086000204,0.8514765254199711,0.8596334247471015,0.9354905769910764,51.484384298324585
Hibrido2_GA_MLP,0,0.8971807628524047,0.868907001807344,0.8575465640757952,0.8621832380462126,0.93987153489608,19.557852506637573
Hibrido2_GA_MLP,1,0.8933112216694307,0.8640018651791214,0.84983099258082,0.855217753109252,0.9355757106286974,25.364089965820312
Hibrido2_GA_MLP,2,0.8888888888888888,0.8572001603847389,0.8465426686153359,0.8507146737506949,0.9384079440558791,25.416988849639893
Hibrido2_GA_MLP,3,0.8922056384742952,0.8619023417370387,0.8514450241540406,0.8557422584873612,0.9403153243281138,25.156055212020874
Hibrido2_GA_MLP,4,0.8896259443523125,0.8591413597706863,0.8457286212720327,0.8510581664713733,0.9315447651648148,25.557462453842163
