,hora,dia_semana,mes,dist_hermelinda_km,dist_sanchez_carrion_km,dist_parque_industrial_km,dist_cesar_vallejo_km,dist_hotspot_mas_cercano_km
count,33919.0,33919.0,33919.0,33919.0,33919.0,33919.0,33919.0,33919.0
mean,13.74,3.011,6.272,1.864,1.988,2.843,2.91,0.763
std,5.954,2.007,3.44,1.12,1.134,1.687,1.679,0.381
min,0.0,0.0,1.0,0.009,0.001,0.012,0.007,0.001
25%,8.0,1.0,3.0,0.934,1.118,1.425,1.428,0.486
50%,14.0,3.0,6.0,1.7,1.812,2.569,2.893,0.73
75%,19.0,5.0,9.0,2.619,2.66,4.192,4.144,0.98
max,23.0,6.0,12.0,5.865,5.75,7.69,7.376,3.372
